epoch,step,test_accuracy,test_f1score,test_iou,test_loss,test_precision,test_recall,train_accuracy,train_f1score,train_iou,train_loss,train_precision,train_recall,val_accuracy,val_f1score,val_iou,val_loss,val_precision,val_recall
0,1089,,,,,,,,,,,,,0.9648796916007996,0.9648796916007996,0.9344563484191895,0.23061399161815643,0.9648796916007996,0.9648796916007996
0,1089,,,,,,,0.9431583881378174,0.9431583881378174,0.8977150917053223,0.33176544308662415,0.9431583881378174,0.9431583881378174,,,,,,
1,2179,,,,,,,,,,,,,0.9692106246948242,0.9692106246948242,0.9418474435806274,0.20141726732254028,0.9692106246948242,0.9692106246948242
1,2179,,,,,,,0.9671034216880798,0.9671034216880798,0.9378976821899414,0.2214811146259308,0.9671034216880798,0.9671034216880798,,,,,,
2,3269,,,,,,,,,,,,,0.9718382358551025,0.9718382358551025,0.9465073347091675,0.19183491170406342,0.9718382358551025,0.9718382358551025
2,3269,,,,,,,0.9691343307495117,0.9691343307495117,0.9415993094444275,0.2020108997821808,0.9691343307495117,0.9691343307495117,,,,,,
3,4359,,,,,,,,,,,,,0.9716100096702576,0.9716100096702576,0.9460801482200623,0.1864207535982132,0.9716100096702576,0.9716100096702576
3,4359,,,,,,,0.9702884554862976,0.9702884554862976,0.943688690662384,0.19309839606285095,0.9702884554862976,0.9702884554862976,,,,,,
4,5449,,,,,,,,,,,,,0.9719088077545166,0.9719088077545166,0.9471240043640137,0.18242524564266205,0.9719088077545166,0.9719088077545166
4,5449,,,,,,,0.9713618159294128,0.9713618159294128,0.9456356167793274,0.184255912899971,0.9713618159294128,0.9713618159294128,,,,,,
5,6539,,,,,,,,,,,,,0.9722054600715637,0.9722054600715637,0.9471192359924316,0.18170097470283508,0.9722054600715637,0.9722054600715637
5,6539,,,,,,,0.9719499349594116,0.9719499349594116,0.9467051029205322,0.1804792881011963,0.9719499349594116,0.9719499349594116,,,,,,
6,7629,,,,,,,,,,,,,0.9721451997756958,0.9721451997756958,0.9474374651908875,0.1778184175491333,0.9721451997756958,0.9721451997756958
6,7629,,,,,,,0.9728026986122131,0.9728026986122131,0.948255717754364,0.17528453469276428,0.9728026986122131,0.9728026986122131,,,,,,
7,8719,,,,,,,,,,,,,0.9741968512535095,0.9741968512535095,0.9507746696472168,0.1742289960384369,0.9741968512535095,0.9741968512535095
7,8719,,,,,,,0.9732863903045654,0.9732863903045654,0.9491410851478577,0.17166075110435486,0.9732863903045654,0.9732863903045654,,,,,,
8,9809,,,,,,,,,,,,,0.9733487963676453,0.9733487963676453,0.9492139220237732,0.17089447379112244,0.9733487963676453,0.9733487963676453
8,9809,,,,,,,0.9737758040428162,0.9737758040428162,0.9500298500061035,0.16888564825057983,0.9737758040428162,0.9737758040428162,,,,,,
9,10899,,,,,,,,,,,,,0.9729450941085815,0.9729450941085815,0.9487371444702148,0.17110541462898254,0.9729450941085815,0.9729450941085815
9,10899,,,,,,,0.974327802658081,0.974327802658081,0.9510279297828674,0.16462461650371552,0.974327802658081,0.974327802658081,,,,,,
10,11989,,,,,,,,,,,,,0.9743773937225342,0.9743773937225342,0.9510917067527771,0.16620425879955292,0.9743773937225342,0.9743773937225342
10,11989,,,,,,,0.9745538234710693,0.9745538234710693,0.951453447341919,0.16259413957595825,0.9745538234710693,0.9745538234710693,,,,,,
11,13079,,,,,,,,,,,,,0.9737010598182678,0.9737010598182678,0.9500702619552612,0.16858866810798645,0.9737010598182678,0.9737010598182678
11,13079,,,,,,,0.9751055836677551,0.9751055836677551,0.9524675607681274,0.15894147753715515,0.9751055836677551,0.9751055836677551,,,,,,
12,14169,,,,,,,,,,,,,0.9750208258628845,0.9750208258628845,0.9522972106933594,0.16558431088924408,0.9750208258628845,0.9750208258628845
12,14169,,,,,,,0.9753742814064026,0.9753742814064026,0.9529571533203125,0.15699417889118195,0.9753742814064026,0.9753742814064026,,,,,,
13,15259,,,,,,,,,,,,,0.9742934107780457,0.9742934107780457,0.9510123133659363,0.16440851986408234,0.9742934107780457,0.9742934107780457
13,15259,,,,,,,0.9757264256477356,0.9757264256477356,0.9536066651344299,0.15506206452846527,0.9757264256477356,0.9757264256477356,,,,,,
14,16349,,,,,,,,,,,,,0.976082444190979,0.976082444190979,0.9542582631111145,0.15748225152492523,0.976082444190979,0.976082444190979
14,16349,,,,,,,0.9760520458221436,0.9760520458221436,0.9542021751403809,0.15259934961795807,0.9760520458221436,0.9760520458221436,,,,,,
15,17439,,,,,,,,,,,,,0.9744349718093872,0.9744349718093872,0.9512396454811096,0.16121357679367065,0.9744349718093872,0.9744349718093872
15,17439,,,,,,,0.9762426018714905,0.9762426018714905,0.9545556902885437,0.15122297406196594,0.9762426018714905,0.9762426018714905,,,,,,
16,18529,,,,,,,,,,,,,0.9752815961837769,0.9752815961837769,0.9527959227561951,0.15828029811382294,0.9752815961837769,0.9752815961837769
16,18529,,,,,,,0.9765161275863647,0.9765161275863647,0.9550641179084778,0.14920397102832794,0.9765161275863647,0.9765161275863647,,,,,,
17,19619,,,,,,,,,,,,,0.9764164090156555,0.9764164090156555,0.9548217058181763,0.15596090257167816,0.9764164090156555,0.9764164090156555
17,19619,,,,,,,0.9768692851066589,0.9768692851066589,0.9557159543037415,0.14703701436519623,0.9768692851066589,0.9768692851066589,,,,,,
18,20709,,,,,,,,,,,,,0.9750237464904785,0.9750237464904785,0.9526717662811279,0.15738187730312347,0.9750237464904785,0.9750237464904785
18,20709,,,,,,,0.9770530462265015,0.9770530462265015,0.9560583829879761,0.14684097468852997,0.9770530462265015,0.9770530462265015,,,,,,
19,21799,,,,,,,,,,,,,0.976669430732727,0.976669430732727,0.9552931189537048,0.15328320860862732,0.976669430732727,0.976669430732727
19,21799,,,,,,,0.9773693084716797,0.9773693084716797,0.9566354155540466,0.14431758224964142,0.9773693084716797,0.9773693084716797,,,,,,
20,22889,,,,,,,,,,,,,0.976311981678009,0.976311981678009,0.9546305537223816,0.1549401581287384,0.976311981678009,0.976311981678009
20,22889,,,,,,,0.9776577353477478,0.9776577353477478,0.9571733474731445,0.14187318086624146,0.9776577353477478,0.9776577353477478,,,,,,
21,23979,,,,,,,,,,,,,0.9749976992607117,0.9749976992607117,0.9522393345832825,0.1581878513097763,0.9749976992607117,0.9749976992607117
21,23979,,,,,,,0.9779351353645325,0.9779351353645325,0.9576897025108337,0.14002588391304016,0.9779351353645325,0.9779351353645325,,,,,,
22,25069,,,,,,,,,,,,,0.976414144039154,0.976414144039154,0.9548175930976868,0.15289267897605896,0.976414144039154,0.976414144039154
22,25069,,,,,,,0.9781298637390137,0.9781298637390137,0.9580470323562622,0.13911251723766327,0.9781298637390137,0.9781298637390137,,,,,,
23,26159,,,,,,,,,,,,,0.9766832590103149,0.9766832590103149,0.9553394913673401,0.1544565111398697,0.9766832590103149,0.9766832590103149
23,26159,,,,,,,0.9782732725143433,0.9782732725143433,0.9583170413970947,0.13887682557106018,0.9782732725143433,0.9782732725143433,,,,,,
24,27249,,,,,,,,,,,,,0.9759777188301086,0.9759777188301086,0.9540216326713562,0.15531258285045624,0.9759777188301086,0.9759777188301086
24,27249,,,,,,,0.9785677194595337,0.9785677194595337,0.9588659405708313,0.13636744022369385,0.9785677194595337,0.9785677194595337,,,,,,
25,28339,,,,,,,,,,,,,0.976917028427124,0.976917028427124,0.9557824730873108,0.14946524798870087,0.976917028427124,0.976917028427124
25,28339,,,,,,,0.9787974953651428,0.9787974953651428,0.9592864513397217,0.1345512866973877,0.9787974953651428,0.9787974953651428,,,,,,
26,29429,,,,,,,,,,,,,0.9765485525131226,0.9765485525131226,0.9550678730010986,0.1534147411584854,0.9765485525131226,0.9765485525131226
26,29429,,,,,,,0.9789806008338928,0.9789806008338928,0.9596250057220459,0.13414746522903442,0.9789806008338928,0.9789806008338928,,,,,,
27,30519,,,,,,,,,,,,,0.9753848910331726,0.9753848910331726,0.9530550837516785,0.1530635505914688,0.9753848910331726,0.9753848910331726
27,30519,,,,,,,0.9791433811187744,0.9791433811187744,0.9599220752716064,0.1326194554567337,0.9791433811187744,0.9791433811187744,,,,,,
28,31609,,,,,,,,,,,,,0.9773468375205994,0.9773468375205994,0.9565317034721375,0.1506957709789276,0.9773468375205994,0.9773468375205994
28,31609,,,,,,,0.9793216586112976,0.9793216586112976,0.9602615237236023,0.13076218962669373,0.9793216586112976,0.9793216586112976,,,,,,
29,31610,0.976829469203949,0.976829469203949,0.9555714130401611,0.15358135104179382,0.976829469203949,0.976829469203949,,,,,,,,,,,,
29,31610,0.9768186211585999,0.9768186211585999,0.9555590748786926,0.15297095477581024,0.9768186211585999,0.9768186211585999,,,,,,,,,,,,
